Index,Diagnosis
0,Бактериальная кишечная инфекция неуточненная
1,Неизвестный диагноз
2,"Коклюш, вызванный Bordetella pertussis"
3,Болезнь Лайма
4,Дальневосточный клещевой энцефалит [русский весенне-летний энцефалит]
5,Неизвестный диагноз
6,Другие формы герпетических инфекций
7,Герпетическая инфекция неуточненная
8,Неизвестный диагноз
9,Неизвестный диагноз
10,Опоясывающий лишай с другими осложнениями
11,Опоясывающий лишай без осложнений
12,Неизвестный диагноз
13,Неизвестный диагноз
14,Хронический вирусный гепатит B без дельта-агента
15,Хронический вирусный гепатит C
16,Хронический вирусный гепатит неуточненный
17,Другие цитомегаловирусные болезни
18,Неизвестный диагноз
19,Инфекционный мононуклеоз неуточненный
20,Микоз ногтей
21,Микоз стоп
22,Эпидермофития паховая
23,Разноцветный лишай
24,Кандидоз кожи и ногтей
25,Неизвестный диагноз
26,Неизвестный диагноз
27,Описторхоз
28,Папилломавирусы
29,Неизвестный диагноз
30,Неизвестный диагноз
31,Неизвестный диагноз
32,Головки поджелудочной железы
33,Неизвестный диагноз
34,Молочной железы неуточненной части
35,"Поражение шейки матки, выходящее за пределы одной и более вышеуказанных локализаций"
36,Неизвестный диагноз
37,"Большого мозга, кроме долей и желудочков"
38,Лобной доли
39,Неизвестный диагноз
40,Неизвестный диагноз
41,Поперечной ободочной кишки
42,Желудка
43,Внепеченочных желчных протоков
44,Гортани
45,Бронха и легкого
46,Дыхательной системы неуточненной локализации
47,Коротких костей верхней конечности
48,Костей и суставных хрящей неуточненных
49,Доброкачественное новообразование жировой ткани кожи и подкожной клетчатки туловища
50,Доброкачественное новообразование жировой ткани кожи и подкожной клетчатки конечностей
51,Доброкачественное новообразование жировой ткани кожи и подкожной клетчатки других и неуточненных локализаций
52,Доброкачественное новообразование жировой ткани органов грудной клетки
53,"Соединительной и других мягких тканей головы, лица и шеи"
54,"Соединительной и других мягких тканей верхней конечности, включая область плечевого пояса"
55,"Соединительной и других мягких тканей нижней конечности, включая тазобедренную область"
56,Кожи других и неуточненных частей лица
57,Кожи волосистой части головы и шеи
58,Кожи туловища
59,"Кожи нижней конечности, включая область тазобедренного"
60,Неизвестный диагноз
61,Подслизистая лейомиома матки
62,Интрамуральная лейомиома матки
63,Субсерозная лейомиома матки
64,Неизвестный диагноз
65,Мужских половых органов неуточненной локализации
66,Почки
67,Мочевого пузыря
68,Оболочек головного мозга
69,Головного мозга над мозговым наметом
70,Неизвестный диагноз
71,Надпочечника
72,Лимфатических узлов
73,"Трахеи, бронхов и легкого"
74,Матки
75,Неизвестный диагноз
76,Головного мозга неуточненное
77,Кожи
78,Молочной железы
79,Железодефицитная анемия неуточненная
80,Анемия неуточненная
81,Неизвестный диагноз
82,Неизвестный диагноз
83,Другие иммунодефициты с преимущественным дефектом антител
84,Комбинированный иммунодефицит неуточненный
85,"Иммунодефицит, связанный со значительным дефектом, неуточненный"
86,Иммунодефицит неуточненный
87,Саркоидоз легких
88,Саркоидоз лимфатических узлов
89,Саркоидоз легких с саркоидозом лимфатических узлов
90,"Диффузный (эндемический) зоб, связанный с йодной недостаточностью"
91,"Многоузловой (эндемический) зоб, связанный с йодной недостаточностью"
92,"Зоб (эндемический), связанный с йодной недостаточностью, неуточненный"
93,"Другие болезни щитовидной железы, связанные с йодной недостаточностью, и сходные состояния"
94,Неизвестный диагноз
95,"Гипотиреоз, вызванный медикаментами и другими экзогенными веществами"
96,Другие уточненные гипотиреозы
97,Гипотиреоз неуточненный
98,Нетоксический диффузный зоб
99,Нетоксический одноузловой зоб
100,Нетоксический многоузловой зоб
101,Тиреотоксикоз с диффузным зобом
102,Тиреотоксикоз с токсическим одноузловым зобом
103,Тиреотоксикоз с токсическим многоузловым зобом
104,Другие формы тиреотоксикоза
105,Тиреотоксикоз неуточненный
106,Подострый тиреоидит
107,Хронический тиреоидит с преходящим тиреотоксикозом
108,Аутоиммунный тиреоидит
109,Медикаментозный тиреоидит
110,Болезнь щитовидной железы неуточненная
111,Неизвестный диагноз
112,Неизвестный диагноз
113,Неизвестный диагноз
114,Неизвестный диагноз
115,Неизвестный диагноз
116,Неизвестный диагноз
117,Неизвестный диагноз
118,Неизвестный диагноз
119,Неизвестный диагноз
120,Неизвестный диагноз
121,Неизвестный диагноз
122,Неизвестный диагноз
123,Другие уточненные нарушения внутренней секреции поджелудочной железы
124,Нарушение внутренней секреции поджелудочной железы неуточненное
125,Идиопатический гипопаратиреоз
126,Первичный гиперпаратиреоз
127,"Вторичный гиперпаратиреоз, не классифицированный в других рубриках"
128,Гиперпаратиреоз неуточненный
129,Гиперпролактинемия
130,Гиперфункция гипофиза неуточненная
131,Гипопитуитаризм
132,"Дисфункция гипоталамуса, не классифицированная в других рубриках"
133,Другие болезни гипофиза
134,Болезнь гипофиза неуточненная
135,"Врожденные адреногенитальные нарушения, связанные с дефицитом ферментов"
136,Другие адреногенитальные нарушения
137,Адреногенитальное нарушение неуточненное
138,Другие виды гиперсекреции коры надпочечников
139,Первичная недостаточность коры надпочечников
140,Медикаментозная недостаточность коры надпочечников
141,Гиперфункция мозгового слоя надпочечников
142,Болезнь надпочечников неуточненная
143,Избыток эстрогенов
144,Избыток андрогенов
145,Синдром поликистоза яичников
146,Первичная яичниковая недостаточность
147,Другие виды дисфункции яичников
148,Дисфункция яичников неуточненная
149,Гипофункция яичек
150,Другие виды дисфункции яичек
151,Дисфункция яичек неуточненная
152,Аутоиммунная полигландулярная недостаточность
153,Неизвестный диагноз
154,Легкая белково-энергетическая недостаточность
155,Недостаточность витамина D неуточненная
156,Недостаточность железа
157,"Ожирение, обусловленное избыточным поступлением энергетических ресурсов"
158,"Крайняя степень ожирения, сопровождаемая альвеолярной гиповентиляцией"
159,Другие формы ожирения
160,Другие уточненные нарушения обмена углеводов
161,Нарушение обмена углеводов неуточненное
162,Другие нарушения обмена липопротеинов
163,Гиперурикемия без признаков воспалительного артрита и подагрических узлов
164,Синдром Жильберта
165,Нарушения обмена кальция
166,"Гипотиреоидизм, возникший после медицинских процедур"
167,Неизвестный диагноз
168,Другие фобические тревожные расстройства
169,Паническое расстройство [эпизодическая пароксизмальная тревожность]
170,Другие уточненные тревожные расстройства
171,Другие обсессивно-компульсивные расстройства
172,Неизвестный диагноз
173,Соматоформная дисфункция вегетативной нервной системы
174,Неизвестный диагноз
175,Неизвестный диагноз
176,Другие соматоформные расстройства
177,Соматоформное расстройство неуточненное
178,Другие уточненные невротические расстройства
179,Невротическое расстройство неуточненное
180,Бессонница неорганической этиологии
181,Снохождение [сомнамбулизм]
182,Неизвестный диагноз
183,Тики неуточненные
184,Энурез неорганической природы
185,Неизвестный диагноз
186,Поздняя мозжечковая атаксия
187,Другая наследственная атаксия
188,Наследственная атаксия неуточненная
189,Болезнь двигательного неврона
190,Неизвестный диагноз
191,Неизвестный диагноз
192,"Другие формы вторичного паркинсонизма, вызванного лекарственными средствами"
193,"Вторичный паркинсонизм, вызванный другими внешними факторами"
194,Неизвестный диагноз
195,Другие формы вторичного паркинсонизма
196,Вторичный паркинсонизм неуточненный
197,Прогрессирующая надъядерная офтальмоплегия [Стила-Ричардсона-Ольшевского]
198,Стриатонигральная дегенерация
199,Другие уточненные дегенеративные болезни базальных ганглиев
200,Неизвестный диагноз
201,Идиопатическая несемейная дистония
202,Спастическая кривошея
203,Идиопатическая рото-лицевая дистония
204,Блефароспазм
205,Прочие дистонии
206,Дистония неуточненная
207,Неизвестный диагноз
208,Эссенциальный тремор
209,Другие уточненные формы тремора
210,"Тики, вызванные лекарственными средствами, и другие тики органического происхождения"
211,Другие уточненные экстрапирамидные и двигательные нарушения
212,Неизвестный диагноз
213,Ранняя болезнь Альцгеймера
214,Поздняя болезнь Альцгеймера
215,Неизвестный диагноз
216,Дегенеративная болезнь нервной системы неуточненная
217,Неизвестный диагноз
218,Неизвестный диагноз
219,Неизвестный диагноз
220,Острый поперечный миелит при демиелинизирующей болезни центральной нервной системы
221,Другие уточненные демиелинизирующие болезни центральной нервной системы
222,Демиелинизирующая болезнь центральной нервной системы неуточненная
223,Неизвестный диагноз
224,Локализованная (фокальная) (парциальная) идиопатическая эпилепсия и эпилептические синдромы с судорожными припадками с фокальным началом
225,Локализованная (фокальная) (парциальная) симптоматическая эпилепсия и эпилептические синдромы с простыми парциальными припадками
226,Локализованная (фокальная) (парциальная) симптоматическая эпилепсия и эпилептические синдромы с комплексными парциальными судорожными припадками
227,Генерализованная идиопатическая эпилепсия и эпилептические синдромы
228,Особые эпилептические синдромы
229,Припадки grand mal неуточненные (с малыми припадками [petit mal] или без них)
230,Малые припадки [petit mal] неуточненные без припадков grand mal
231,Эпилепсия неуточненная
232,Эпилептический статус grand mal (судорожных припадков)
233,Неизвестный диагноз
234,Мигрень без ауры [простая мигрень]
235,Мигрень с аурой [классическая мигрень]
236,Мигрень неуточненная
237,Неизвестный диагноз
238,"Сосудистая головная боль, не классифицированная в других рубриках"
239,Головная боль напряженного типа
240,"Головная боль, вызванная применением лекарственных средств, не классифицированная в других рубриках"
241,Другой уточненный синдром головной боли
242,Транзиторная глобальная [преходящая полная] амнезия
243,Транзиторная церебральная ишемическая атака неуточненная
244,Неизвестный диагноз
245,Неизвестный диагноз
246,Нарушения засыпания и поддержания сна [бессонница]
247,Нарушения цикличности сна и бодрствования
248,Другие нарушения сна
249,Нарушение сна неуточненное
250,Неизвестный диагноз
251,Невралгия тройничного нерва
252,Атипичная лицевая боль
253,Другие поражения тройничного нерва
254,Паралич Белла
255,Клонический гемифациальный спазм
256,Лицевая миокимия
257,Другие поражения лицевого нерва
258,Поражения других уточненных черепных нервов
259,Неизвестный диагноз
260,Поражения пояснично-крестцового сплетения
261,"Поражения шейных корешков, не классифицированные в других рубриках"
262,"Поражения грудных корешков, не классифицированные в других рубриках"
263,"Поражения пояснично-крестцовых корешков, не классифицированные в других рубриках"
264,Другие поражения нервных корешков и сплетений
265,Поражение нервных корешков и сплетений неуточненное
266,Неизвестный диагноз
267,Синдром запястного канала
268,Поражение локтевого нерва
269,Неизвестный диагноз
270,Поражение бедренного нерва
271,Другие мононевралгии нижней конечности
272,Межреберная невропатия
273,Мононевропатия неуточненная
274,Наследственная моторная и сенсорная невропатия
275,Другие наследственные и идиопатические невропатии
276,Другие воспалительные полиневропатии
277,Воспалительная полиневропатия неуточненная
278,Неизвестный диагноз
279,Другие уточненные полиневропатии
280,Полиневропатия неуточненная
281,Неизвестный диагноз
282,Неизвестный диагноз
283,Неизвестный диагноз
284,Неизвестный диагноз
285,Неизвестный диагноз
286,Myasthenia gravis [тяжелая миастения]
287,Нарушение нервно-мышечного синапса неуточненное
288,Неизвестный диагноз
289,Неизвестный диагноз
290,Неизвестный диагноз
291,Неизвестный диагноз
292,Спастическая гемиплегия
293,Неизвестный диагноз
294,Идиопатическая периферическая вегетативная невропатия
295,Синдром Горнера
296,Полисистемная дегенерация
297,Другие расстройства вегетативной [автономной] нервной системы
298,Расстройство вегетативной [автономной] нервной системы неуточненное
299,Энцефалопатия неуточненная
300,Другие уточненные поражения головного мозга
301,Неизвестный диагноз
302,Другие уточненные поражения центральной нервной системы
303,Поражение центральной нервной системы неуточненное
304,Неизвестный диагноз
305,Острый конъюнктивит неуточненный
306,Хронический конъюнктивит
307,Блефароконъюнктивит
308,Другие конъюнктивиты
309,Конъюнктивит неуточненный
310,Другие конъюнктивальные васкулярные болезни и кисты
311,Болезнь конъюнктивы неуточненная
312,Дегенерация роговицы
313,Начальная старческая катаракта
314,Старческая ядерная катаракта
315,Осложненная катаракта
316,Другие хориоретинальные воспаления
317,Фоновая ретинопатия и ретинальные сосудистые изменения
318,Подозрение на глаукому
319,Болезнь глазного яблока неуточненная
320,Отек диска зрительного нерва неуточненный
321,Гиперметропия
322,Миопия
323,Астигматизм
324,Пресбиопия
325,Неизвестный диагноз
326,Другие инфекционные наружные отиты
327,Наружный отит неуточненный
328,Серная пробка
329,Болезнь наружного уха неуточненная
330,Неизвестный диагноз
331,Неизвестный диагноз
332,Острый средний серозный отит
333,Другие острые негнойные средние отиты
334,Хронический туботимпанальный гнойный средний отит
335,Адгезивная болезнь среднего уха
336,Болезнь Меньера
337,Доброкачественное параксизмальное головокружение
338,Другие периферические головокружения
339,Головокружение центрального происхождения
340,Другие нарушения вестибулярной функции
341,Нарушение вестибулярной функции неуточненное
342,Шумовые эффекты внутреннего уха
343,Нейросенсорная потеря слуха двусторонняя
344,Нейросенсорная потеря слуха односторонняя с нормальным слухом на противоположном ухе
345,Смешанная кондуктивная и нейросенсорная тугоухость неуточненная
346,Шум в ушах (субъективный)
347,"и I05.2-I05.9, уточненные или не уточненные как ревматические"
348,Сочетанные поражения митрального и трехстворчатого клапанов
349,Неизвестный диагноз
350,Гипертензивная [гипертоническая] болезнь с преимущественным поражением сердца с (застойной) сердечной недостаточностью
351,Гипертензивная [гипертоническая] болезнь с преимущественным поражением сердца без (застойной) сердечной недостаточности
352,Вторичная гипертензия неуточненная
353,Нестабильная стенокардия
354,Другие формы стенокардии
355,Стенокардия неуточненная
356,Неизвестный диагноз
357,Острая ишемическая болезнь сердца неуточненная
358,Перенесенный в прошлом инфаркт миокарда
359,Другие формы хронической ишемической болезни сердца
360,Хроническая ишемическая болезнь сердца неуточненная
361,Легочная эмболия без упоминания об остром легочном сердце
362,Аортальный (клапанный) стеноз
363,Другие кардиомиопатии
364,Кардиомиопатия неуточненная
365,Пароксизмальная тахикардия неуточненная
366,Фибрилляция и трепетание предсердий
367,Неизвестный диагноз
368,Неизвестный диагноз
369,Неизвестный диагноз
370,Фибрилляция и трепетание желудочков
371,Преждевременная деполяризация желудочков
372,Другие уточненные нарушения сердечного ритма
373,Нарушение сердечного ритма неуточненное
374,Миокардит неуточненный
375,Неизвестный диагноз
376,"Инфаркт мозга, вызванный неуточненной закупоркой или стенозом мозговых артерий"
377,Закупорка и стеноз позвоночной артерии
378,Другие уточненные поражения сосудов мозга
379,Цереброваскулярная болезнь неуточненная
380,Неизвестный диагноз
381,Последствия инфаркта мозга
382,"Последствия инсульта, не уточненные как кровоизлияние или инфаркт мозга"
383,Последствия других и неуточненных цереброваскулярных болезней
384,Неизвестный диагноз
385,Атеросклероз артерий конечностей
386,Атеросклероз других артерий
387,Синдром Рейно
388,Эмболия и тромбоз артерий верхних конечностей
389,Эмболия и тромбоз неуточненных артерий
390,Другие уточненные изменения артерий и артериол
391,Невус неопухолевый
392,Неизвестный диагноз
393,Неизвестный диагноз
394,Флебит и тромбофлебит других глубоких сосудов нижних конечностей
395,Неизвестный диагноз
396,Эмболия и тромбоз других уточненных вен
397,Неизвестный диагноз
398,Варикозное расширение вен нижних конечностей без язвы или воспаления
399,Варикозное расширение вен мошонки
400,Варикозное расширение вен таза
401,Варикозное расширение вен других уточненных локализаций
402,Неизвестный диагноз
403,Венозная недостаточность (хроническая) (периферическая)
404,Другие уточненные поражения вен
405,Неизвестный диагноз
406,Другие неспецифические лимфадениты
407,Неспецифический лимфаденит неуточненный
408,Неинфекционная болезнь лимфатических сосудов и лимфатических узлов неуточненная
409,Неизвестный диагноз
410,Другие и неуточненные нарушения системы кровообращения
411,Неизвестный диагноз
412,Неизвестный диагноз
413,Острый верхнечелюстной синусит
414,Острый синусит неуточненный
415,Неизвестный диагноз
416,Острый фарингит неуточненный
417,Неизвестный диагноз
418,Острый тонзиллит неуточненный
419,Острый ларингит
420,Острый ларинготрахеит
421,Неизвестный диагноз
422,Острый ларингофарингит
423,Другие острые инфекции верхних дыхательных путей множественной локализации
424,Острая инфекция верхних дыхательных путей неуточненная
425,"Грипп с другими проявлениями, вирус не идентифицирован"
426,Вирусная пневмония неуточненная
427,"Другая пневмония, возбудитель неуточнен"
428,Пневмония неуточненная
429,Острый бронхит неуточненный
430,Неизвестный диагноз
431,Неизвестный диагноз
432,Вазомоторный ринит
433,"Аллергический ринит, вызванный пыльцой растений"
434,Другие аллергические риниты
435,Аллергический ринит неуточненный
436,Хронический ринит
437,Хронический назофарингит
438,Хронический фарингит
